parish,county,from_year,to_year,comments,district,source_url
All Saints,Cambridgeshire,1837,1900,Abolished 26.3.1900 and added to the parish of Cambridge.,Cambridge (1974 onw),http://www.ukbmd.org.uk/reg/districts/cambridge.html
Cambridge,Cambridgeshire,1900,1935,"Created 26.3.1900 from the parishes of St. Andrew the Less, St. 
    Giles, St. Andrew the Great, Holy Trinity, St. Mary the Less, St. Clement, All 
    Saints, St. Benedict, St. Mary the Great, St. Botolph, Holy Sepulchre, St. Edward and St. Michael. See also Table 2, notes (a) and (b).",Cambridge (1974 onw),http://www.ukbmd.org.uk/reg/districts/cambridge.html
Holy Sepulchre,Cambridgeshire,1837,1900,Abolished 26.3.1900 and added to the parish of Cambridge.,Cambridge (1974 onw),http://www.ukbmd.org.uk/reg/districts/cambridge.html
Holy Trinity,Cambridgeshire,1837,1900,Abolished 26.3.1900 and added to the parish of Cambridge.,Cambridge (1974 onw),http://www.ukbmd.org.uk/reg/districts/cambridge.html
St. Andrew the Great,Cambridgeshire,1837,1900,Abolished 26.3.1900 and added to the parish of Cambridge.,Cambridge (1974 onw),http://www.ukbmd.org.uk/reg/districts/cambridge.html
St. Andrew the Less,Cambridgeshire,1837,1900,Abolished 26.3.1900 and added to the parish of Cambridge.,Cambridge (1974 onw),http://www.ukbmd.org.uk/reg/districts/cambridge.html
St. Benedict,Cambridgeshire,1837,1900,Abolished 26.3.1900 and added to the parish of Cambridge.,Cambridge (1974 onw),http://www.ukbmd.org.uk/reg/districts/cambridge.html
St. Botolph,Cambridgeshire,1837,1900,Abolished 26.3.1900 and added to the parish of Cambridge.,Cambridge (1974 onw),http://www.ukbmd.org.uk/reg/districts/cambridge.html
St. Clement,Cambridgeshire,1837,1900,Abolished 26.3.1900 and added to the parish of Cambridge.,Cambridge (1974 onw),http://www.ukbmd.org.uk/reg/districts/cambridge.html
St. Edward,Cambridgeshire,1837,1900,Abolished 26.3.1900 and added to the parish of Cambridge.,Cambridge (1974 onw),http://www.ukbmd.org.uk/reg/districts/cambridge.html
St. Giles,Cambridgeshire,1837,1900,Abolished 26.3.1900 and added to the parish of Cambridge.,Cambridge (1974 onw),http://www.ukbmd.org.uk/reg/districts/cambridge.html
St. Mary the Great,Cambridgeshire,1837,1900,Abolished 26.3.1900 and added to the parish of Cambridge.,Cambridge (1974 onw),http://www.ukbmd.org.uk/reg/districts/cambridge.html
St. Mary the Less,Cambridgeshire,1837,1900,Abolished 26.3.1900 and added to the parish of Cambridge.,Cambridge (1974 onw),http://www.ukbmd.org.uk/reg/districts/cambridge.html
St. Michael,Cambridgeshire,1837,1900,Abolished 26.3.1900 and added to the parish of Cambridge.,Cambridge (1974 onw),http://www.ukbmd.org.uk/reg/districts/cambridge.html
St. Peter,Cambridgeshire,1837,1886,Abolished 25.3.1886 and added to the parish of St. Giles.,Cambridge (1974 onw),http://www.ukbmd.org.uk/reg/districts/cambridge.html
