parish,county,from_year,to_year,comments,district,source_url
Bettws Garmon,Caernarvonshire,1837,1937,"See Table 2, note (b).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Clynnog,Caernarvonshire,1837,1937,"See Table 2, note (b).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Llanbeblig,Caernarvonshire,1837,1937,"See Table 2, note (b).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Llanberis,Caernarvonshire,1837,1937,"See Table 2, note (b).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Llanddeinolen,Caernarvonshire,1837,1937,"See Table 2, note (b).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Llandwrog,Caernarvonshire,1837,1937,"See Table 2, note (b).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Llanfaglan,Caernarvonshire,1837,1937,"See Table 2, note (b).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Llanfairisgaer,Caernarvonshire,1837,1937,"See Table 2, note (b).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Llanfair y Cwmwd,Anglesey,1837,1933,Abolished 1.10.1933 and added to the parish of Llangeinwen.,Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Llangaffo,Anglesey,1837,1937,"See Table 2, note (a).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Llanfihangel Esgeifiog,Anglesey,1933,1937,"That part which until 1.10.1933 formed part of the parish of 
    Llanidan. See also Table 2, note (a).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Llangeinwen,Anglesey,1837,1937,"See Table 2, note (a).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Llanidan,Anglesey,1837,1937,"See Table 2, notes (a).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Llanllyfni,Caernarvonshire,1837,1937,"See Table 2, note (b).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Llanrûg,Caernarvonshire,1837,1937,"See Table 2, note (b).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Llanwnda,Caernarvonshire,1837,1937,"See Table 2, note (b).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Newborough,Anglesey,1837,1937,"See Table 2, note (a).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
Waenfawr,Caernarvonshire,1894,1937,"Created 1894 from the rural part of the parish of Llanbebig. See 
    also Table 2, note (b).",Carnarvon,http://www.ukbmd.org.uk/reg/districts/carnarvon.html
