parish,county,from_year,to_year,comments,district,source_url
Ashingdon,Essex,1837,1974,"See Table 2, note (h).",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Barling,Essex,1837,1946,Abolished 1.4.1946 and added to the parish of Barling Magna.,Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Canewdon,Essex,1837,1974,"See Table 2, notes (d) and (h).",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Eastwood,Essex,1837,1946,Abolished 1.4.1946 and added to the parish of Canewdon.,Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Foulness,Essex,1837,1974,"See Table 2, note (h).",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Great Stambridge,Essex,1837,1934,Abolished 1.4.1934 and added to the parish of Stambridge.,Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Great Wakering,Essex,1837,1974,"See Table 2, note (h).",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Hadleigh,Essex,1837,1939,"See Table 2, note (f).",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Havengore,Essex,1837,1946,Abolished 1.4.1946 and added to the parish of Foulness.,Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Hawkwell,Essex,1837,1974,"See Table 2, note (h).",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Hockley,Essex,1837,1974,"See Table 2, notes (c) and (h).",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Leigh,Essex,1837,1913,Abolished 9.11.1913 and added to the parish of Southend-on-Sea.,Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Little Stambridge,Essex,1837,1934,Abolished 1.4.1934 and added to the parish of Stambridge.,Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Little Wakering,Essex,1837,1946,"Abolished 1.4.1946 and divided between the parishes of Barling 
    Magna, Foulness, Canewdon and Great Wakering.",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
North Shoebury,Essex,1837,1933,"Abolished 1.10.1933 and divided between the parishes of Great Wakering 
    and Southend-on-Sea.",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Paglesham,Essex,1837,1974,"See Table 2, note (h).",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Prittlewell,Essex,1837,1913,Abolished 9.11.1913 and added to the parish of Southend-on-Sea.,Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Rawreth,Essex,1837,1974,"Abolished 1.4.1974 and added to the Rochford unparished area. 
    See also Table 2, note (h).",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Rayleigh,Essex,1837,1974,"Abolished 1.4.1974 and added to the Rochford unparished area. See also Table 
    2, note (h).",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Rochford,Essex,1837,1974,"See Table 2, note (h).",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Shopland,Essex,1837,1933,"Abolished 1.10.1933 and divided between the parishes of Sutton 
    and Southend-on-Sea.",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
South Benfleet,Essex,1848,1939,"See Table 2, notes (a) and (f).",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
South Fambridge,Essex,1837,1946,Abolished 1.4.1946 and added to the parish of Ashingdon.,Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
South Shoebury,Essex,1837,1933,Abolished 1.10.1933 and added to the parish of Southend-on-Sea.,Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Southchurch,Essex,1837,1913,Abolished 9.11.1913 and added to the parish of Southend-on-Sea.,Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Sutton,Essex,1837,1974,"See Table 2, note (h).",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
Thundersley,Essex,1848,1939,"See Table 2, notes (a) and (f).",Rochford,http://www.ukbmd.org.uk/reg/districts/rochford.html
